smiles,ic50,cluster
O=C(COc1ccc2c(=O)ccoc2c1)Nc1cccc(NC(=O)c2ccc(Br)cc2)c1,49.0,6
O=C(NCc1ccc(Br)cc1)c1ccc2c(c1)OCc1cnccc1-2,174.0,3
Cc1ccc(C(=O)Nc2cccc(NC(=O)COc3ccc4c(=O)ccoc4c3)c2)cc1,22.0,6
Cc1cccc(CNC(=O)c2ccc3c(c2)OCc2cnccc2-3)c1,36.7,3
Cc1ccc(CN2CCCC(Nc3ccc4[nH]ncc4c3)C2)cc1,9.0,0
Cc1ccc(CN2CCC[C@H](Nc3ccc4[nH]ncc4c3)C2)cc1,63.1,0
Cc1ccc(CN2CC[C@@H](Nc3cccc4cnccc34)C2)cc1,29.9,5
Cc1ccc(CN2CC[C@H](Nc3cccc4cnccc34)C2)cc1,789.0,5
Cc1ccc(CNC(=O)c2ccc3c(c2)OCc2cnccc2-3)cc1,349.0,3
CCc1cc(N2CCC(Nc3cccc(OC)c3)C2=O)ccc1-c1cn[nH]c1,5.0,1
CCc1cc(N2CCC(Nc3ccc(F)c(OC)c3)C2=O)ccc1-c1cn[nH]c1,55.0,7
CCc1cc(N2CCC(Nc3cc(F)cc(OC)c3)C2=O)ccc1-c1cn[nH]c1,5.0,11
CCc1ccc(C(=O)Nc2cccc(NC(=O)COc3ccc4c(=O)ccoc4c3)c2)cc1,24.0,6
C#Cc1ccc(CN2CCCC(Nc3ccc4[nH]ncc4c3)C2)cc1,69.1,0
CCc1ccc(CN2CCCC(Nc3ccc4[nH]ncc4c3)C2)cc1,86.9,0
C#Cc1ccc(CN2CCC[C@@H](Nc3ccc4[nH]ncc4c3)C2)cc1,111.0,0
C#Cc1ccc(CN2CCC[C@H](Nc3ccc4[nH]ncc4c3)C2)cc1,53.1,0
CC(C)c1ccc(CN2CCCC(Nc3ccc4[nH]ncc4c3)C2)cc1,334.0,0
CC(C)(C)c1ccc(C(=O)Nc2cccc(NC(=O)COc3ccc4c(=O)ccoc4c3)c2)cc1,34.0,6
CCC(C)OC(=O)c1cccc(NC(=O)c2cccc(-c3cc(C(=O)Nc4ccncc4F)ccc3CN)c2)c1,2.6,10
CCCCOC(=O)c1cccc(NC(=O)c2cccc(-c3cc(C(=O)Nc4ccncc4F)ccc3CN)c2)c1,27.0,10
CC(C)N1CCC(NC(=O)c2cccc([C@@H](CO)NC(=O)c3ccc(-c4ccncc4)cc3)c2)CC1,0.47,15
CC(C)N1CCC(CNC(=O)c2cccc([C@@H](CO)NC(=O)c3ccc(-c4ccncc4)cc3)c2)CC1,0.31,14
CC(C)NC(=O)c1cc2ccc(-c3nccc(Nc4ccc5[nH]ncc5c4)n3)cc2[nH]1,22.0,2
CCC(NC(=O)C1(N)CCN(c2ncnc3[nH]ccc23)CC1)c1ccc(Cl)cc1,126.0,9
CC(C)OC(=O)c1cccc(NC(=O)c2cccc(-c3cc(C(=O)Nc4ccncc4F)ccc3CN)c2)c1,7.0,10
C[C@@H](NC(=O)c1ccc2c(c1)COc1cnccc1-2)c1ccc(F)cc1,5.66,19
C[C@H](NC(=O)c1ccc2c(c1)OCc1cnccc1-2)c1ccccc1,1640.0,19
C[C@@H](NC(=O)c1ccc2c(c1)OCc1cnccc1-2)c1ccccc1,3.23,19
C[C@@H](NC(=O)c1ccc2c(c1)OCc1cnccc1-2)c1cccc(F)c1,3.68,19
C[C@H](NC(=O)c1ccc2c(c1)OCc1cnccc1-2)c1cccc(F)c1,875.0,19
C[C@@H](NC(=O)c1ccc2c(c1)OCc1cnccc1-2)c1ccc(F)cc1,22.4,19
C[C@H](NC(=O)c1ccc2c(c1)OCc1cnccc1-2)c1cc(F)cc(F)c1,194.0,19
C[C@@H](NC(=O)c1ccc2c(c1)OCc1cnccc1-2)c1cc(F)cc(F)c1,6.18,19
CCN1CCC(CNC(=O)c2cccc([C@@H](CO)NC(=O)c3ccc(-c4ccncc4)cc3)c2)CC1,0.46,14
CCN(CC)C1CCC(NC(=O)c2cccc([C@@H](CO)NC(=O)c3ccc(-c4ccncc4)cc3)c2)CC1,1.2,15
CC(NC(=O)c1ccc2c(c1)OCc1cnccc1-2)c1ccccc1,5.52,19
CC(NC(=O)c1ccc2c(c1)OCc1cnccc1-2)c1cccc(F)c1,7.28,19
CC(NC(=O)c1ccc2c(c1)OCc1cnccc1-2)c1cc(F)cc(F)c1,10.6,19
CCNC(=O)c1cccc([C@H]2CC(O)CN2C(=O)c2ccc(-c3cn[nH]c3)c(OC)c2)c1,8.29,18
CCNC(=O)c1cccc(CNC(=O)c2ccc(-c3cn[nH]c3)c(OC)c2)c1,0.4,8
CCOc1ccc2c(c1)CC(C(=O)Nc1ccc(-c3cn[nH]c3)cc1OCCN(C)C)NC2,156.0,13
CCOc1cc(N2CCC(Nc3cccc(OC)c3)C2=O)ccc1-c1cn[nH]c1,5.0,1
CCOc1cc(N2CCC(Nc3ccc(F)c(OC)c3)C2=O)ccc1-c1cn[nH]c1,55.0,7
CCOc1cc(N2CCC(Nc3cc(F)cc(OC)c3)C2=O)ccc1-c1cn[nH]c1,1150.0,11
CCOc1ccc(C(=O)Nc2cccc(NC(=O)COc3ccc4c(=O)ccoc4c3)c2)cc1,9.0,6
CCOc1cccc(CN2CCCC(Nc3ccc4[nH]ncc4c3)C2)c1,326.0,12
CCOc1cccc(NC2CCN(c3ccc(-c4cn[nH]c4)c(OC)c3)C2=O)c1,5.0,1
CCOC(=O)N1CCC2(CC1)CN(c1ncc(-c3cn[nH]c3)c(OC)n1)C(=O)N2Cc1cccc(OC)c1,16.0,17
CCS(=O)(=O)Nc1cccc(CN2CCCC(Nc3ccc4[nH]ncc4c3)C2)c1,109.0,16
CCS(=O)(=O)Nc1cccc(CN2CCC[C@@H](Nc3ccc4[nH]ncc4c3)C2)c1,135.0,16
CCS(=O)(=O)Nc1cccc(CN2CCC[C@H](Nc3ccc4[nH]ncc4c3)C2)c1,59.2,16
Clc1cccc(CN2CCC(Nc3cccc4cnccc34)C2)c1,65.0,5
Clc1cccc(CN2CCCC(Nc3ccc4[nH]ncc4c3)C2)c1,19.0,0
O=C(NCc1cccc(Cl)c1)c1ccc2c(c1)OCc1cnccc1-2,19.9,3
Clc1ccc(CN2CCC(Nc3ccc4[nH]ncc4c3)C2)cc1,24.0,0
Clc1ccc(CN2CCC(Nc3cccc4cnccc34)C2)cc1,65.0,5
Clc1ccc(CN2CCCC(Nc3ccc4[nH]ncc4c3)C2)cc1,11.0,0
Clc1ccc(CN2CCC[C@H](Nc3ccc4[nH]ncc4c3)C2)cc1Cl,162.0,0
Clc1ccc(CN2CCC[C@H](Nc3ccc4[nH]ncc4c3)C2)cc1,30.1,0
Clc1ccc(CN2CC[C@@H](Nc3cccc4cnccc34)C2)cc1,120.0,5
Clc1ccc(CN2CC[C@H](Nc3cccc4cnccc34)C2)cc1,2460.0,5
O=C(NCc1ccc(Cl)cc1)c1ccc2c(c1)OCc1cnccc1-2,113.0,3
O=C(Nc1ccncc1Cl)c1cc2ccc(-c3nccc(Nc4ccc5[nH]ncc5c4)n3)cc2[nH]1,46.0,2
O=C(Nc1cnncc1Cl)c1cc2ccc(-c3nccc(Nc4ccc5[nH]ncc5c4)n3)cc2[nH]1,92.0,2
c1ccc(CN2CCC(Nc3cccc4cnccc34)C2)cc1,73.9,5
c1cc(C2CC2)ccc1CN1CCCC(Nc2ccc3[nH]ncc3c2)C1,251.0,0
c1ccc(-c2ccc(CN3CCCC(Nc4ccc5[nH]ncc5c4)C3)cc2)cc1,1610.0,0
c1cc(N2CCCC2)ccc1CN1CCCC(Nc2ccc3[nH]ncc3c2)C1,12200.0,0
c1ccc(CN2CCCC(Nc3ccc4[nH]ncc4c3)C2)cc1,20.0,0
c1cc(CN2CCCC(Nc3ccc4[nH]ncc4c3)C2)ccn1,190.0,0
c1ccc(CN2CCC(Nc3cccc4cnccc34)CC2)cc1,140.0,5
CN1CCC(NC(=O)c2cccc([C@@H](CO)NC(=O)c3ccc(-c4ccncc4)cc3)c2)CC1,0.33,15
c1ccc(CN2CCCC(Nc3cccc4cnccc34)CC2)cc1,1490.0,5
CN1CCC(CNC(=O)c2cccc([C@@H](CO)NC(=O)c3ccc(-c4ccncc4)cc3)c2)CC1,0.3,14
c1cc(N[C@@H]2CCN(Cc3ccc(C4CC4)cc3)C2)c2ccncc2c1,311.0,5
c1cc(N[C@H]2CCN(Cc3ccc(C4CC4)cc3)C2)c2ccncc2c1,4080.0,5
Cn1cc(NC(=O)c2cc3ccc(-c4nccc(Nc5ccc6[nH]ncc6c5)n4)cc3[nH]2)cn1,62.0,2
CNc1cc(N2CCC(Nc3cccc(OC)c3)C2=O)ccc1-c1cn[nH]c1,55.0,1
CN(C)c1ccc(C(=O)Nc2cccc(NC(=O)COc3ccc4c(=O)ccoc4c3)c2)cc1,3.0,6
CN(C)C1CCC(NC(=O)c2cccc([C@@H](CO)NC(=O)c3ccc(-c4ccncc4)cc3)c2)CC1,0.61,15
CN(C)c1ccc(NC(=O)c2cc3ccc(-c4nccc(Nc5ccc6[nH]ncc6c5)n4)cc3[nH]2)cn1,91.0,2
CN(C)CCCC(NC(=O)C1(N)CCN(c2ncnc3[nH]ccc23)CC1)c1ccc(Cl)cc1,71.0,9
CN(C)CC[C@H](NC(=O)C1(N)CCN(c2ncnc3[nH]ccc23)CC1)c1ccc(Cl)cc1,34.0,9
CN(C)CCC(NC(=O)C1(N)CCN(c2ncnc3[nH]ccc23)CC1)c1ccc(Cl)cc1,31.0,9
CN(C)CCOc1cc(-c2cn[nH]c2)ccc1NC(=O)[C@@H]1Cc2ccccc2CN1,32.0,13
CN(C)CCOc1cc(-c2cn[nH]c2)ccc1NC(=O)[C@H]1Cc2ccccc2CN1,32.0,13
CN(C)CCOc1cc(-c2cn[nH]c2)ccc1NC(=O)[C@@H]1Cc2cc(Cl)ccc2CN1,23.0,13
CN(C)CCOc1cc(-c2cn[nH]c2)ccc1NC(=O)[C@H]1Cc2cc(Cl)ccc2CN1,52.0,13
CN(C)CCOc1cc(-c2cn[nH]c2)ccc1NC(=O)[C@@H]1Cc2cc(F)ccc2CN1,290.0,13
CN(C)CCOc1cc(-c2cn[nH]c2)ccc1NC(=O)[C@H]1Cc2cc(F)ccc2CN1,59.0,13
CNC(=O)c1cccc([C@H]2CC(O)CN2C(=O)c2ccc(-c3cn[nH]c3)c(OC)c2)c1,18.2,18
CNC(=O)c1cccc(CNC(=O)c2ccc(-c3cn[nH]c3)c(OC)c2)c1,0.85,8
COc1ccc2c(c1)CN[C@@H](C(=O)Nc1ccc(-c3cn[nH]c3)cc1OCCN(C)C)C2,850.0,13
COc1ccc2c(c1)C[C@@H](C(=O)Nc1ccc(-c3cn[nH]c3)cc1OCCN(C)C)NC2,10.0,13
COc1ccc2c(c1)C[C@H](C(=O)Nc1ccc(-c3cn[nH]c3)cc1OCCN(C)C)NC2,51.0,13
COc1ccc2c(c1)C[C@H](C(=O)Nc1ccc(-c3cn[nH]c3)cc1OCCO)NC2,2700.0,13
COc1cccc(C2CCCCN2C(=O)c2ccc(-c3cn[nH]c3)c(OC)c2)c1,673.0,4
COc1cccc(C2CCCN2C(=O)c2ccc(-c3cn[nH]c3)c(OC)c2)c1,12.6,4
COc1ccc(C2CCCN2C(=O)c2ccc(-c3cn[nH]c3)c(OC)c2)cc1,331.0,4
COc1cc(C(=O)N2CCCC2c2ccccc2OC)ccc1-c1cn[nH]c1,511.0,4
COc1cc(C(=O)N2CCCC2c2ccc3ccccc3c2)ccc1-c1cn[nH]c1,68.3,4
COc1cc(C(=O)N2CCCC2c2cccc(Br)c2)ccc1-c1cn[nH]c1,31.0,4
COc1cc(C(=O)N2CCCC2c2cccc(-c3cn[nH]c3)c2)ccc1-c1cn[nH]c1,54.9,4
COc1cc(C(=O)N2CCCC2c2ccccc2)ccc1-c1cn[nH]c1,50.5,4
COc1cc(C(=O)N2CCCC2c2ccc(C)cc2)ccc1-c1cn[nH]c1,215.0,4
COc1cc(C(=O)N2CCCC2c2cccc(C)c2)ccc1-c1cn[nH]c1,61.4,4
COc1cc(C(=O)N2CCCC2c2ccc(Cl)cc2)ccc1-c1cn[nH]c1,114.0,4
COc1cc(C(=O)N2CCCC2c2cccc(O)c2)ccc1-c1cn[nH]c1,2.74,4
COc1cc(C(=O)N2CCCC2c2ccc(F)cc2)ccc1-c1cn[nH]c1,41.4,4
COc1cc(C(=O)N2CCCCC2c2ccccc2)ccc1-c1cn[nH]c1,789.0,4
COc1cc(C(=O)N2CCC[C@@H]2c2cccc(C(=O)O)c2)ccc1-c1cn[nH]c1,151.0,4
COc1cc(C(=O)N2CC(O)C[C@@H]2c2cccc(C(=O)NC3CC3)c2)ccc1-c1cn[nH]c1,5.32,18
COc1cc(C(=O)N2CC(O)C[C@@H]2c2cccc(C(=O)NC3(C)CC3)c2)ccc1-c1cn[nH]c1,43.4,18
COc1cc(C(=O)N2CC(O)C[C@@H]2c2cccc(C(=O)NCC3CC3)c2)ccc1-c1cn[nH]c1,2.71,18
COc1cc(C(=O)N2CC(O)C[C@@H]2c2cccc(C(=O)NCc3cc(C)on3)c2)ccc1-c1cn[nH]c1,1.8,18
COc1cc(C(=O)N2CC(O)C[C@@H]2c2cccc(C(=O)NCc3ncco3)c2)ccc1-c1cn[nH]c1,2.5,18
COc1cc(C(=O)N2CC(O)C[C@@H]2c2cccc(C(=O)NCC(C)(C)O)c2)ccc1-c1cn[nH]c1,7.29,18
COc1cc(C(=O)N2CC(O)C[C@@H]2c2cccc(C(=O)NC(C)C)c2)ccc1-c1cn[nH]c1,6.68,18
COc1cc(C(=O)N2CC(O)C[C@@H]2c2cccc(C(=O)NCC(F)F)c2)ccc1-c1cn[nH]c1,4.08,18
COc1cc(C(=O)NCc2cccc(-c3ccccc3)c2)ccc1-c1cn[nH]c1,129.0,8
COc1cc(C(=O)NCc2cccc(C(=O)O)c2)ccc1-c1cn[nH]c1,1.2,8
COc1cc(C(=O)NCc2ccccc2)ccc1-c1cn[nH]c1,2.6,8
COc1cc(C(=O)NCc2cccc(Cl)c2)ccc1-c1cn[nH]c1,49.7,8
COc1cc(C(=O)NCc2cccc(F)c2)ccc1-c1cn[nH]c1,4.01,8
COc1cc(C(=O)NCc2cccc(O)c2)ccc1-c1cn[nH]c1,0.85,8
COc1cc(C(=O)NCc2cccc(OC(F)F)c2)ccc1-c1cn[nH]c1,3.94,8
COc1cc(C(=O)NCc2cccc(OC(F)(F)F)c2)ccc1-c1cn[nH]c1,40.9,8
COc1cc(N2CCC(Nc3ccccc3)C2=O)ccc1-c1cn[nH]c1,5.0,1
COc1cc(N2CCC(Nc3cccc(F)c3)C2=O)ccc1-c1cn[nH]c1,5.0,1
COc1cc(N2CCC(Nc3cccc(OC(C)C)c3)C2=O)ccc1-c1cn[nH]c1,55.0,1
COc1cc(N2CCC(Nc3cccc(OC(F)F)c3)C2=O)ccc1-c1cn[nH]c1,55.0,1
COc1cc(N2CCC(Nc3cccc(OC(F)(F)F)c3)C2=O)ccc1-c1cn[nH]c1,1150.0,1
COc1cc(N2CCC(Nc3cc(F)cc(F)c3)C2=O)ccc1-c1cn[nH]c1,5.0,7
COc1ccc(C(=O)Nc2cccc(NC(=O)COc3ccc4c(=O)ccoc4c3)c2)cc1,7.0,6
COc1cccc(CCNC(=O)c2ccc(-c3cn[nH]c3)c(OC)c2)c1,59.6,8
COc1cccc(CN2C(=O)N(c3ncc(-c4cn[nH]c4)c(OC)n3)CC23CCN(C(C)=O)CC3)c1,16.0,17
COc1cccc(CN2C(=O)N(c3ncc(-c4cn[nH]c4)c(OC)n3)CC23CCN(C(=O)C2CC(F)(F)C2)CC3)c1,16.0,17
COc1cccc(CN2C(=O)N(c3ncc(-c4cn[nH]c4)c(OC)n3)CC23CCN(C(=O)C(C)C)CC3)c1,140.0,17
COc1cccc(CN2C(=O)N(c3ncc(-c4cn[nH]c4)c(OC)n3)CC23CCN(C(=O)CC(C)C)CC3)c1,16.0,17
COc1cccc(CN2C(=O)N(c3ncc(-c4cn[nH]c4)c(OC)n3)CC23CCN(C(=O)C(C)(C)CO)CC3)c1,140.0,17
COc1cccc(CN2C(=O)N(c3ncc(-c4cn[nH]c4)c(OC)n3)CC23CCN(C(=O)C(C)(C)O)CC3)c1,16.0,17
COc1cccc(CN2C(=O)N(c3ncc(-c4cn[nH]c4)c(OC)n3)CC23CCN(C(=O)[C@@H]2CC2(F)F)CC3)c1,16.0,17
COc1cccc(CN2C(=O)N(c3ncc(-c4cn[nH]c4)c(OC)n3)CC23CCN(C(=O)OC(C)(C)C)CC3)c1,16.0,17
COc1cccc(CN2C(=O)N(c3ncc(-c4cn[nH]c4)c(OC)n3)CC23CCN(CC(C)(C)O)CC3)c1,16.0,17
COc1cccc(CNC(=O)c2ccc(-c3cn[nH]c3)c(C)c2)c1,2.28,8
COc1cccc(CNC(=O)c2ccc(-c3cn[nH]c3)c(F)c2)c1,18.9,8
